temoignages_bootcamp_complet;;;;;
Name;Title;Startup;Bootcamp number;Testimony;Type de bootcamp
Mehdi Djabri;CEO;Itération X;1;The program creates a space and structure that forces you to delve deeper into key strategic topics that you don't necessarily dwell on in your day-to-day activities. Being able to discuss key strategic elements with Pierre, my co-founders, and the other entrepreneurs was very powerful. Communicating your ideas clearly and concisely to a diverse group and getting their feedback and perspectives is a game-changer.;The Compass
Morgane Surlenet;CEO;Skribix;1;A revolution. 34 Elements Academy offers a modern way of thinking that will long influence my entrepreneurial vision.;The Compass
Philippe Masseau;CEO;Ekstere;1;By joining 34 elements, I knew we would be challenged on the strategy and direction of our project! And we have been, deep down, always with good intentions, understanding and objective analysis. Thank you Pierre for the value you brought us, and thank you to all the other entrepreneurs for sharing their experiences during these 7 weeks!;The Compass
Agathe Martin;COO;Kiligi;1;Starting a business raises thousands of questions, which can lead to millions of answers. With 34 Elements, you focus on only the questions that matter and guide you toward the right answers. And you do it all with the help of a talented team and committed fellow entrepreneurs.;The Compass
Stéphane Rouquette;CEO;Le Marché de mon village;1;Pierre brings the best of entrepreneurship to the world at an astonishing level of simplicity and understanding. His global and international experiences are invaluable in opening eyes to what a business should be. He challenges founders, the project, our vision, and our ambitions to take them to the next level. This course should be mandatory for everyone when they become entrepreneurs.;The Compass
Sofiane Laurent;CEO;Kobi;1;Thank you so much! It was truly enriching to experience this adventure with you and the rest of the group.;The Compass
Nicolas Réaud;COO;Kobi;1;34 Elements allowed us to be more organized among the founders and focus on our goals. It helped us create a clear product vision to communicate to the team. We became better entrepreneurs!;The Compass
Marie Tors;CEO;Graffiti;1;"""Make haste slowly, and without losing courage, Put your work back on the loom twenty times, Polish it without ceasing, and repolish it, Add sometimes, and often erase."" Pierre is to start-ups what Boileau was to poetry. This path that seemed strewn with bumps will become a highway of impeccable smoothness... after long hours spent questioning everything! :-) 34elements has been very valuable to us. A big thank you to both of them.";The Compass
Alexandre Hernandez;COO;Jobgether;1;34 Elements was a game-changer for us. We realized how important it was to take the time to discuss strategy and vision. We now feel more confident.;The Compass
Arnaud Gazet;CEO;Refer;1;34 Elements helped us gain a clear perspective on our startup and ask ourselves the right questions to approach the future. A great product without a concrete strategy is a marriage doomed to failure.;The Compass
Alexis Martin;Co-founder;Uniseed;1;34 Elements gave us a holistic view of our startup. This was especially valuable because we're usually caught up in day-to-day activities and rarely get a good, objective overview and understanding of areas we need to improve.;The Compass
Olivier Mermet;CEO;Mirepoi;1;34 Elements delivered far more than we initially expected. It was truly a two-month communion, it brought us closer, it helped us align our vision early on, and the feedback from fellow entrepreneurs, regardless of their background, was always relevant. Pierre is a true master of his craft. We recommend him without hesitation!;The Compass
Sappey Marine;Co-founder;Ekstere;1;The 34 elements experience is very structured to build you up more solidly and it may start with a saving destructuring... a well-constructed method to unfold the 7 weeks, group exchanges with mirror effects and above all the eye of the coach, demanding and benevolent who in a holistic approach will highlight the points to work on. What else? Just do it! Thank you to the 34 elements team for the richness of this course! Essential for any entrepreneur!;The Compass
Loïc Lechelle;CEO,;Skewer Lab;2;"The only ""training"" that opened my eyes to concrete actions to take as a founder. Constructive discussions, which shift the focus on the vision we have of each element. There is, in my experience, no other valid method for achieving the consolidation of the fundamentals of your company. Love.";The Compass
Benoît Cerceau;CEO;OnSpot;2;I am happy to have discovered 34 Elements and to have found in Pierre the entrepreneurial spirit that I was always accustomed to while creating my first two startups in California. Pierre and his team will guide your startup through a thorough thought process consisting of 34 elements that you will need to address in order to increase the chances of getting your project off the ground. I would highly recommend anyone who is serious about their project to enroll in this academy and unless you can move to Silicon Valley, 34 Elements is your best bet. I will be on the lookout for the new batch of startups and look forward to the amazing alumni networking opportunities. Keep up the good work, guys!;The Compass
Jérôme Bourgeois;CEO;Sapio Arts;2;Honestly, there will be a before and after. Your program makes us think and helps us a lot. Although I studied at a top school, the clarity of the method is truly excellent. Thank you.;The Compass
